teac cons admi rese wake slee
.162 .041 .138 .123 .254 .282
.2 .039 .073 .076 .346 .266
.201 .082 .115 .146 .194 .261
.134 .077 .107 .146 .214 .321
.224 .08 .091 .162 .195 .248
.144 .063 .103 .123 .316 .252
.125 .054 .137 .102 .312 .27
.127 .077 .11 .101 .341 .244
.139 .052 .128 .111 .266 .304
.108 .052 .082 .075 .413 .27
.187 .091 .113 .116 .264 .228
.184 .07 .066 .151 .305 .216
.155 .086 .101 .119 .225 .315
.181 .097 .081 .164 .271 .206
.224 .096 .101 .142 .203 .234
.198 .067 .139 .154 .162 .281
.214 .073 .102 .13 .201 .281
.132 .037 .148 .099 .307 .277
.167 .073 .127 .122 .266 .245
.166 .064 .101 .145 .242 .282
