mat.organica mat.solido mat.combustible otros
0.5825 0.0971 0.2546 0.0658
0.6347 0.0600 0.2851 0.0202
0.6104 0.0694 0.2399 0.0803
0.4161 0.1117 0.3042 0.1680
0.5610 0.1504 0.2783 0.0103
0.4143 0.1600 0.2339 0.1918
0.5269 0.0724 0.3255 0.0752
0.4916 0.0793 0.3439 0.0852
0.5655 0.1697 0.2472 0.0176
0.4365 0.1585 0.4008 0.0042
0.6566 0.1107 0.2222 0.0105
0.5820 0.1349 0.2532 0.0299
0.4382 0.1254 0.4177 0.0187
0.5088 0.0772 0.2782 0.1358
0.5732 0.1481 0.2564 0.0223
0.4803 0.1092 0.3734 0.0371
0.4723 0.1484 0.2546 0.1247
0.4886 0.0666 0.3641 0.0807
0.5464 0.0744 0.3456 0.0336
0.5468 0.0999 0.3427 0.0106
0.6880 0.0564 0.2501 0.0055
0.6059 0.0971 0.2783 0.0187
0.6869 0.0278 0.2153 0.0700
0.5778 0.1702 0.2274 0.0246
0.6710 0.0403 0.1988 0.0899
0.5352 0.1287 0.2907 0.0454
0.5979 0.0520 0.2904 0.0597
0.6625 0.0258 0.2711 0.0406
0.5484 0.1716 0.2306 0.0494
0.7264 0.0323 0.2379 0.0034
0.6335 0.0795 0.2833 0.0037
0.5204 0.1259 0.2949 0.0588
0.6248 0.0745 0.2432 0.0575
0.6576 0.0512 0.2217 0.0695
0.5630 0.1259 0.2509 0.0602
0.6510 0.1028 0.2447 0.0015
0.5378 0.0968 0.3533 0.0121
0.6520 0.0622 0.2766 0.0092
0.6875 0.0424 0.2466 0.0235
0.6466 0.0793 0.2640 0.0101
0.7355 0.0308 0.2266 0.0071
0.6360 0.1233 0.2352 0.0055
0.7300 0.0705 0.1788 0.0207
0.5332 0.0713 0.3726 0.0229
0.6243 0.1345 0.2356 0.0056
0.6669 0.1035 0.2166 0.0130
0.5232 0.0906 0.3565 0.0297
0.5574 0.2013 0.2253 0.0160
0.5580 0.0964 0.3150 0.0306
0.4808 0.2190 0.2862 0.0140
0.5973 0.1449 0.2500 0.0078
0.6043 0.0813 0.2994 0.0150
0.4418 0.2680 0.2648 0.0254
