Estrato hoka hoko2 hoko3
Alto 0.6057 0.0642 0.33
Alto 0.7332 0.1332 0.1336
Alto 0.8232 0.1011 0.0757
Alto 0.7517 0.1351 0.1132
Alto 0.5783 0.181 0.2407
Alto 0.7312 0.1104 0.1584
Alto 0.7478 0.1255 0.1267
Alto 0.6354 0.1227 0.2419
Medio 0.8287 0.0714 0.0999
Medio 0.6979 0.1041 0.198
Medio 0.8089 0.0626 0.1285
Medio 0.6886 0.0926 0.2188
Medio 0.7879 0.0719 0.1402
Medio 0.878 0.0749 0.0471
Medio 0.7707 0.1176 0.1117
Medio 0.7736 0.0891 0.1373
Medio 0.6885 0.1063 0.1451
Bajo 0.7533 0.0718 0.1749
Bajo 0.7373 0.1288 0.1339
Bajo 0.8291 0.0707 0.1002
Bajo 0.676 0.1855 0.1385
Bajo 0.6583 0.0704 0.2713
Bajo 0.729 0.1147 0.1563
Bajo 0.6257 0.1371 0.2372
Bajo 0.6923 0.0952 0.2125
Bajo 0.7716 0.1021 0.1263
Bajo 0.5498 0.1128 0.3374
